,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
184,AUG,2,2.0,1.0,5.67877322,13.0,0.00791982,0.0,0.00010246
185,AUH,61,61.0,0.29836066,4.69843538,11.0,0.25909964,27259.47488014,0.00142019
186,AUK,4,4.0,0.5,6.72931338,14.0,5.29e-05,27.03333333,0.00027042
187,AUL,1,1.0,,6.59606914,13.0,4.892e-05,0.0,0.00010687
188,AUP,3,3.0,0.33333333,8.72858892,13.0,5e-08,1808.0,0.00028021
189,AUQ,2,2.0,1.0,6.07039587,13.0,0.00044727,0.0,0.00014354
190,AUR,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.235e-05
191,AUS,33,33.0,0.60606061,4.95481523,12.0,0.18740624,1271.76334566,0.00071396
192,AUU,1,1.0,,6.14303361,11.0,0.00044066,0.0,8.379e-05
193,AUV,2,2.0,1.0,8.72636895,13.0,1e-07,0.0,0.00016406
194,AUW,6,6.0,1.0,5.5298038,13.0,0.03312334,0.0,0.0001627
195,AUX,1,1.0,,7.74759725,15.0,3.51e-06,0.0,9.276e-05
196,AUY,2,2.0,1.0,7.85320254,13.0,1.67e-06,0.0,0.00016202
197,AVI,7,7.0,0.85714286,5.11564479,12.0,0.06296538,33.67143105,0.00018891
198,AVK,2,2.0,1.0,6.44216912,13.0,0.00050772,0.0,0.00015033
199,AVL,5,5.0,1.0,5.5068957,13.0,0.03229337,0.0,0.00013222
200,AVN,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.235e-05
201,AVP,10,10.0,0.68888889,5.44152166,13.0,0.0562773,156.46041931,0.00023181
202,AWD,3,3.0,0.66666667,7.85328489,13.0,3.3e-06,0.5,0.00021768
203,AWZ,6,6.0,0.93333333,5.74396955,12.0,0.01578953,19.79774154,0.00018791
204,AXA,7,7.0,0.71428571,5.74928347,13.0,0.00922645,3.48242777,0.00020705
205,AXD,1,1.0,,5.42203555,12.0,0.0076845,0.0,6.473e-05
206,AXK,1,1.0,,6.41036545,13.0,0.00170658,0.0,6.422e-05
207,AXM,2,2.0,1.0,5.95931682,13.0,0.00275244,0.0,0.00010949
208,AXP,2,2.0,1.0,6.03713668,13.0,0.00248941,0.0,0.00012199
209,AXT,4,4.0,0.83333333,5.31972951,12.0,0.0141374,0.04255319,0.00013855
210,AXU,2,2.0,0.0,7.27932239,14.0,6.117e-05,0.83333333,0.00014864
211,AYP,2,2.0,1.0,5.96365178,13.0,0.00214526,0.0,0.00012617
212,AYQ,4,4.0,0.83333333,5.82123971,11.0,0.00274687,68.06494213,0.00019976
213,AYT,27,27.0,0.55840456,4.99798861,12.0,0.19432862,1066.93974551,0.00054079
214,AZB,2,2.0,1.0,6.72759999,11.0,0.00015134,0.0,0.00015192
215,AZD,2,2.0,1.0,6.12621123,13.0,0.00474216,0.0,9.553e-05
216,AZN,3,3.0,0.66666667,5.41097203,12.0,0.01465135,1.11523215,0.00010989
217,AZO,6,6.0,1.0,5.49429761,13.0,0.04829282,0.0,0.00015553
218,AZR,7,7.0,0.57142857,6.2296213,13.0,0.00477549,3616.84090909,0.00027186
219,BAH,43,43.0,0.48283499,4.70411332,11.0,0.22180435,7929.70935509,0.00097299
220,BAK,29,29.0,0.33004926,5.35714574,12.0,0.12209131,4216.95014505,0.0006846
221,BAL,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.923e-05
222,BAQ,12,12.0,0.45454545,5.8653916,13.0,0.01403009,714.47914371,0.00046353
223,BAS,3,3.0,0.66666667,8.16962258,12.0,4.1e-07,0.5,0.00026471
224,BAU,4,4.0,0.66666667,5.77120933,13.0,0.00500786,0.83333333,0.0001809
225,BAV,4,4.0,0.5,5.63774096,12.0,0.00955106,546.03930645,0.00013907
226,BAX,4,4.0,0.5,5.39544869,12.0,0.01573628,1.4390237,0.00014945
227,BAY,3,3.0,0.66666667,6.37086641,13.0,0.00589367,0.33333333,0.00013097
228,BBA,1,1.0,,7.65483458,15.0,3.148e-05,0.0,8.534e-05
229,BBI,6,6.0,0.6,5.72714033,12.0,0.00939421,100.2240633,0.00021012
230,BBK,1,1.0,,6.65444454,13.0,0.00010456,0.0,8.727e-05
231,BBM,1,1.0,,6.34381615,12.0,0.00050209,0.0,7.439e-05
232,BBN,2,2.0,1.0,6.74517805,13.0,0.00010127,0.0,0.00013916
233,BBO,6,6.0,0.46666667,5.71293662,12.0,0.01228815,3178.63762959,0.0002361
234,BCA,2,2.0,1.0,5.82030361,13.0,0.00475345,0.0,9.123e-05
235,BCD,2,2.0,1.0,5.71378719,11.0,0.0026725,0.0,0.00011095
236,BCI,3,3.0,1.0,6.17671961,11.0,0.00096729,0.0,0.00018028
237,BCL,1,1.0,,6.62483524,14.0,0.00153095,0.0,7.612e-05
238,BCM,1,1.0,,6.07512601,13.0,0.00221227,0.0,6.198e-05
239,BCN,80,80.0,0.32848101,5.29630424,12.0,0.44507124,12636.35135909,0.00160535
240,BCO,1,1.0,,7.27927448,14.0,3e-05,0.0,0.00011323
241,BCP,2,2.0,0.0,8.72429418,13.0,5e-08,15.45,0.00021256
242,BDA,8,8.0,1.0,5.00220432,12.0,0.08048578,0.0,0.00019086
243,BDB,5,5.0,0.5,6.17318718,11.0,0.00112626,2.33333333,0.00025276
244,BDD,2,2.0,1.0,8.14265362,13.0,2.9e-07,0.0,0.00016812
245,BDH,3,3.0,1.0,6.74787894,13.0,0.00083667,0.0,0.00012155
246,BDJ,8,8.0,0.28571429,6.25146731,12.0,0.0015434,7733.37606627,0.0004133
247,BDO,2,2.0,0.0,6.59959737,12.0,0.00033334,0.66666667,0.00011276
248,BDQ,3,3.0,1.0,5.72447152,12.0,0.00818235,0.0,0.00011522
249,BDS,2,2.0,1.0,5.23631543,12.0,0.02275031,0.0,7.832e-05
250,BDU,4,4.0,1.0,6.25477981,13.0,0.00542118,0.0,0.00018693
251,BEB,3,3.0,0.66666667,6.06324181,13.0,0.00316456,0.5,0.00013838
252,BED,4,4.0,1.0,5.52987267,13.0,0.02889413,0.0,0.00011269
253,BEG,33,33.0,0.6344697,5.35069235,12.0,0.26472904,5489.07090404,0.00071999
254,BEI,2,2.0,1.0,7.2788454,14.0,3.225e-05,0.0,0.00015088
255,BEJ,3,3.0,0.66666667,7.75161026,13.0,4.67e-06,5.8,0.00024412
256,BEL,16,16.0,0.18333333,5.87723122,13.0,0.01188627,31901.95654891,0.00070178
257,BEN,16,16.0,0.45833333,5.29369872,12.0,0.08043601,8823.94019736,0.00045313
258,BER,89,89.0,0.32252298,5.37886145,12.0,0.47817598,10664.67231982,0.00172737
259,BES,4,4.0,1.0,5.24815148,12.0,0.02519353,0.0,0.00011816
260,BET,30,30.0,0.03908046,5.72716219,13.0,0.00145499,109782.27380952,0.00211526
261,BEU,2,2.0,0.0,8.1840195,13.0,4.5e-07,2142.42933301,0.00021813
262,BEW,8,8.0,0.35714286,5.30522476,12.0,0.01190016,9370.64443852,0.00032821
263,BEY,43,43.0,0.5503876,5.10322532,12.0,0.28581664,1716.95825211,0.00088996
264,BFD,1,1.0,,5.81740776,13.0,0.00708965,0.0,6.191e-05
265,BFF,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676e-05
266,BFL,4,4.0,1.0,5.15592107,12.0,0.02892129,0.0,0.00012274
267,BFN,4,4.0,1.0,5.69847192,12.0,0.00633766,0.0,0.0001692
